wavelength (nm),irradiance (W/m^2/nm),
231.4,0.047773248,
231.5,0.047791131,
231.6,0.048053315,
231.7,0.048466726,
231.8,0.048945217,
231.9,0.049424856,
232,0.049863983,
232.1,0.050232487,
232.2,0.050500435,
232.3,0.050634009,
232.4,0.050600501,
232.5,0.050378959,
232.6,0.049969904,
232.7,0.049398481,
232.8,0.048708569,
232.9,0.04795217,
233,0.047177069,
233.1,0.046417502,
233.2,0.045689077,
233.3,0.044988665,
233.4,0.044298704,
233.5,0.043593926,
233.6,0.042850006,
233.7,0.042050737,
233.8,0.041193922,
233.9,0.040293329,
234,0.039379727,
234.1,0.038500244,
234.2,0.037719128,
234.3,0.037115695,
234.4,0.036779491,
234.5,0.036799193,
234.6,0.037245193,
234.7,0.038151282,
234.8,0.039499095,
234.9,0.041210317,
235,0.043152501,
235.1,0.045155459,
235.2,0.04703701,
235.3,0.048630652,
235.4,0.049810643,
235.5,0.050508667,
235.6,0.050719919,
235.7,0.050499036,
235.8,0.049945127,
235.9,0.049182214,
236,0.048337158,
236.1,0.047521095,
236.2,0.046818256,
236.3,0.046283129,
236.4,0.045944207,
236.5,0.045810693,
236.6,0.04587714,
236.7,0.046123799,
236.8,0.046514531,
236.9,0.04699505,
237,0.047495679,
237.1,0.047938932,
237.2,0.048249431,
237.3,0.048362954,
237.4,0.048231747,
237.5,0.047827168,
237.6,0.047141242,
237.7,0.046191465,
237.8,0.04502654,
237.9,0.043731497,
238,0.042424406,
238.1,0.041242836,
238.2,0.040320493,
238.3,0.03975941,
238.4,0.039607563,
238.5,0.039848117,
238.6,0.040403755,
238.7,0.04115327,
238.8,0.041954197,
238.9,0.042666628,
239,0.043174311,
239.1,0.043401008,
239.2,0.043321353,
239.3,0.042964248,
239.4,0.042406193,
239.5,0.041753216,
239.6,0.041114996,
239.7,0.040576502,
239.8,0.040176898,
239.9,0.039902866,
240,0.039698997,
240.1,0.039492371,
240.2,0.039221036,
240.3,0.038857668,
240.4,0.038420499,
240.5,0.037968634,
240.6,0.037587262,
240.7,0.037368388,
240.8,0.037394933,
240.9,0.037732146,
241,0.038425194,
241.1,0.039500634,
241.2,0.040966376,
241.3,0.042808385,
241.4,0.044986398,
241.5,0.04743104,
